         Sample#               E               M           <eps>             <m>             C_V        Suscept.
           24100              -8               4        -1.99527        0.998423       0.0377528      0.00472035
           24200              -8               4        -1.99529         0.99843       0.0375972      0.00470088
           24300              -8               4        -1.99531        0.998436       0.0374428      0.00468158
           24400              -8              -4        -1.99508        0.998381       0.0392475       0.0047846
           24500              -8              -4         -1.9951        0.998388       0.0390877      0.00476511
           24600              -8              -4        -1.99512        0.998394       0.0389292      0.00474578
           24700              -8              -4        -1.99514        0.998401        0.038772      0.00472661
           24800              -8              -4        -1.99516        0.998407        0.038616      0.00470759
           24900              -8              -4        -1.99518        0.998414       0.0384613      0.00468873
           25000              -8              -4         -1.9952         0.99842       0.0383078      0.00467001
           25100              -8              -4        -1.99522        0.998426       0.0381556      0.00465145
           25200              -8              -4        -1.99524        0.998433       0.0380045      0.00463303
           25300              -8              -4        -1.99526        0.998439       0.0378547      0.00461476
           25400              -8              -4        -1.99528        0.998445        0.037706      0.00459663
           25500              -8              -4        -1.99529        0.998451       0.0375585      0.00457864
           25600              -8               4        -1.99523        0.998418       0.0380342      0.00471655
           25700              -8               4        -1.99525        0.998424       0.0378865      0.00469824
           25800              -8               4        -1.99527         0.99843         0.03774      0.00468007
           25900              -8               4        -1.99529        0.998436       0.0375946      0.00466203
           26000              -8               4        -1.99531        0.998442       0.0374504      0.00464414
           26100              -8               4        -1.99533        0.998448       0.0373072      0.00462638
           26200              -8               4        -1.99534        0.998454       0.0371652      0.00460876
           26300              -8               4        -1.99536         0.99846       0.0370242      0.00459127
           26400              -8               4        -1.99538        0.998466       0.0368843      0.00457392
           26500              -8               4         -1.9954        0.998472       0.0367454      0.00455669
           26600              -8               4        -1.99541        0.998477       0.0366076       0.0045396
           26700              -8               4        -1.99543        0.998483       0.0364708      0.00452263
           26800              -8               4        -1.99545        0.998489        0.036335      0.00450579
           26900              -8               4        -1.99546        0.998494       0.0362003      0.00448907
           27000              -8               4        -1.99548          0.9985       0.0360665      0.00447248
           27100              -8               4         -1.9955        0.998506       0.0359337      0.00445601
           27200              -8               4        -1.99551        0.998511       0.0358019      0.00443966
           27300              -8               4        -1.99553        0.998516        0.035671      0.00442343
           27400              -8               4        -1.99555        0.998522       0.0355411      0.00440732
           27500              -8               4        -1.99556        0.998527       0.0354122      0.00439132
           27600              -8               4        -1.99558        0.998533       0.0352842      0.00437545
           27700              -8               4         -1.9956        0.998538       0.0351571      0.00435968
           27800              -8               4        -1.99561        0.998543       0.0350309      0.00434403
           27900              -8               4        -1.99563        0.998548       0.0349056      0.00432849
           28000              -8               4        -1.99564        0.998554       0.0347812      0.00431306
           28100              -8               4        -1.99566        0.998559       0.0346577      0.00429774
           28200              -8               4        -1.99567        0.998564       0.0345351      0.00428253
           28300              -8               4        -1.99569        0.998569       0.0344133      0.00426743
           28400              -8               4         -1.9957        0.998574       0.0342924      0.00425243
           28500              -8               4        -1.99572        0.998579       0.0341723      0.00423754
           28600              -8               4        -1.99573        0.998584       0.0340531      0.00422275
           28700              -8               4        -1.99575        0.998589       0.0339347      0.00420806
           28800              -8               4        -1.99576        0.998594       0.0338171      0.00419348
           28900              -8               4        -1.99578        0.998599       0.0337003        0.004179
           29000              -8               4        -1.99579        0.998603       0.0335844      0.00416461
           29100              -8               4        -1.99581        0.998608       0.0334692      0.00415033
           29200              -8               4        -1.99582        0.998613       0.0333548      0.00413614
           29300              -8               4        -1.99584        0.998618       0.0332412      0.00412205
           29400              -8              -4        -1.99578        0.998588       0.0336703      0.00424373
           29500              -8              -4         -1.9958        0.998593       0.0335564      0.00422937
           29600              -8              -4        -1.99581        0.998598       0.0334433      0.00421511
           29700              -8              -4        -1.99582        0.998603       0.0333309      0.00420094
           29800              -8              -4        -1.99584        0.998607       0.0332193      0.00418687
           29900              -8              -4        -1.99585        0.998612       0.0331085       0.0041729
           30000              -8              -4        -1.99587        0.998617       0.0329983      0.00415901
           30100              -8               4        -1.99561        0.998538       0.0350061      0.00437683
           30200              -8               4        -1.99563        0.998543       0.0348905      0.00436237
           30300              -8               4        -1.99564        0.998548       0.0347756        0.004348
           30400              -8               4        -1.99566        0.998553       0.0346614      0.00433373
           30500              -8               4        -1.99567        0.998557        0.034548      0.00431954
           30600              -8               4        -1.99569        0.998562       0.0344354      0.00430546
           30700              -8               4         -1.9957        0.998567       0.0343234      0.00429146
           30800              -8               4        -1.99571        0.998571       0.0342122      0.00427755
           30900              -8               4        -1.99566         0.99856       0.0346173      0.00429591
           31000              -8               4        -1.99568        0.998565       0.0345059      0.00428208
           31100              -8               4        -1.99569        0.998569       0.0343952      0.00426834
           31200              -8               4        -1.99571        0.998574       0.0342852      0.00425468
           31300              -8               4        -1.99572        0.998578       0.0341759      0.00424112
           31400              -8               4        -1.99567        0.998567       0.0345746       0.0042593
           31500              -8              -4        -1.99556         0.99854       0.0354765      0.00430893
           31600              -8              -4        -1.99557        0.998544       0.0353645      0.00429532
           31700              -8              -4        -1.99558        0.998549       0.0352532       0.0042818
           31800              -8              -4         -1.9956        0.998553       0.0351426      0.00426836
           31900              -8              -4        -1.99561        0.998558       0.0350327      0.00425501
           32000              -8              -4        -1.99562        0.998563       0.0349234      0.00424173
           32100              -8              -4        -1.99564        0.998567       0.0348149      0.00422855
           32200              -8              -4        -1.99565        0.998571        0.034707      0.00421544
           32300              -8              -4        -1.99567        0.998576       0.0345998      0.00420241
           32400              -8              -4        -1.99562        0.998565       0.0349849      0.00422016
           32500              -8              -4        -1.99563        0.998569       0.0348775       0.0042072
           32600              -8              -4        -1.99564        0.998574       0.0347707      0.00419432
           32700              -8              -4        -1.99566        0.998578       0.0346646      0.00418151
           32800              -8              -4        -1.99567        0.998582       0.0345592      0.00416879
           32900              -8              -4        -1.99568        0.998587       0.0344544      0.00415614
           33000              -8              -4         -1.9957        0.998591       0.0343502      0.00414357
           33100              -8              -4        -1.99571        0.998595       0.0342466      0.00413108
           33200              -8              -4        -1.99572        0.998599       0.0341437      0.00411866
           33300              -8              -4        -1.99574        0.998604       0.0340414      0.00410631
           33400              -8              -4        -1.99575        0.998608       0.0339397      0.00409404
           33500              -8              -4        -1.99576        0.998612       0.0338386      0.00408185
           33600              -8              -4        -1.99577        0.998616       0.0337381      0.00406972
           33700              -8              -4        -1.99579         0.99862       0.0336382      0.00405767
           33800              -8              -4         -1.9958        0.998624       0.0335389      0.00404568
           33900              -8              -4        -1.99581        0.998628       0.0334401      0.00403377
           34000              -8              -4        -1.99582        0.998632        0.033342      0.00402193
           34100              -8              -4        -1.99584        0.998636       0.0332444      0.00401016
           34200              -8              -4        -1.99585         0.99864       0.0331474      0.00399845
           34300              -8              -4        -1.99586        0.998644        0.033051      0.00398682
           34400              -8              -4        -1.99587        0.998648       0.0329551      0.00397525
           34500              -8              -4        -1.99588        0.998652       0.0328598      0.00396375
           34600              -8              -4         -1.9959        0.998656        0.032765      0.00395231
           34700              -8              -4        -1.99591         0.99866       0.0326708      0.00394094
           34800              -8               4         -1.9958        0.998621       0.0334928      0.00407285
           34900              -8               4        -1.99582        0.998625        0.033397       0.0040612
           35000              -8               4        -1.99583        0.998629       0.0333018      0.00404962
           35100              -8               4        -1.99584        0.998632       0.0332071       0.0040381
           35200              -8              -4         -1.9958        0.998622       0.0335657      0.00405491
           35300              -8              -4        -1.99581        0.998626       0.0334708      0.00404344
           35400              -8              -4        -1.99582         0.99863       0.0333764      0.00403204
           35500              -8              -4        -1.99583        0.998634       0.0332826       0.0040207
           35600              -8              -4        -1.99584        0.998638       0.0331893      0.00400943
           35700              -8              -4        -1.99585        0.998641       0.0330965      0.00399822
           35800              -8              -4        -1.99587        0.998645       0.0330043      0.00398707
           35900              -8              -4        -1.99588        0.998649       0.0329125      0.00397599
           36000              -8              -4        -1.99589        0.998653       0.0328213      0.00396496
           36100              -8              -4         -1.9959        0.998657       0.0327306        0.003954
           36200              -8              -4         -1.9958        0.998605       0.0335206      0.00416349
           36300              -8              -4        -1.99581        0.998609       0.0334285      0.00415204
           36400              -8              -4        -1.99582        0.998613       0.0333368      0.00414065
           36500              -8               4        -1.99573        0.998575       0.0341187      0.00426585
           36600              -8               4        -1.99574        0.998579       0.0340257      0.00425422
           36700              -8               4        -1.99575        0.998583       0.0339332      0.00424265
           36800              -8               4        -1.99576        0.998587       0.0338412      0.00423114
           36900              -8               4        -1.99577        0.998591       0.0337496       0.0042197
           37000              -8               4        -1.99557        0.998486       0.0353809      0.00463949
           37100              -8               4        -1.99558        0.998491       0.0352857      0.00462701
