             z_1            v_z1             z_2            v_z2
  1.05203014e+03  5.72248694e+02 -9.91100760e+02 -5.48296650e+01
  1.17760371e+03  5.51068661e+02 -9.89883286e+02 -1.23143561e+02
  1.29750867e+03  5.02280417e+02 -9.83900836e+02 -1.83058076e+02
  1.41116785e+03  4.28528190e+02 -9.73182206e+02 -2.31373006e+02
  1.51803413e+03  3.33774477e+02 -9.57778993e+02 -2.65500982e+02
  1.61759308e+03  2.23090753e+02 -9.37765343e+02 -2.83604124e+02
  1.70936546e+03  1.02389623e+02 -9.13237594e+02 -2.84691102e+02
  1.79290951e+03 -2.18874574e+01 -8.84313817e+02 -2.68669503e+02
  1.86782308e+03 -1.43110386e+02 -8.51133239e+02 -2.36350706e+02
  1.93374555e+03 -2.54810583e+02 -8.13855582e+02 -1.89407036e+02
  1.99035960e+03 -3.51022629e+02 -7.72660289e+02 -1.30283442e+02
  2.03739271e+03 -4.26599323e+02 -7.27745660e+02 -6.20683746e+01
  2.07461846e+03 -4.77483538e+02 -6.79327900e+02  1.16693250e+01
  2.10185768e+03 -5.00922493e+02 -6.27640075e+02  8.70689080e+01
  2.11897923e+03 -4.95613142e+02 -5.72930995e+02  1.60181614e+02
  2.12590071e+03 -4.61770999e+02 -5.15464011e+02  2.27179216e+02
  2.12258879e+03 -4.01118760e+02 -4.55515751e+02  2.84556200e+02
  2.10905942e+03 -3.16795323e+02 -3.93374786e+02  3.29314902e+02
  2.08537772e+03 -2.13190018e+02 -3.29340242e+02  3.59123819e+02
  2.05165768e+03 -9.57107894e+01 -2.63720361e+02  3.72440739e+02
  2.00806164e+03  2.95014064e+01 -1.96831017e+02  3.68594188e+02
  1.95479943e+03  1.55896928e+02 -1.28994191e+02  3.47818888e+02
  1.89212746e+03  2.76863351e+02 -6.05364299e+01  3.11243351e+02
  1.82034740e+03  3.86074689e+02  8.21273406e+00  2.60830278e+02
  1.73980478e+03  4.77825488e+02  7.69223645e+01  1.99272894e+02
  1.65088730e+03  5.47332138e+02  1.45261716e+02  1.29852704e+02
  1.55402299e+03  5.90985512e+02  2.12901824e+02  5.62661781e+01
  1.44967811e+03  6.06541566e+02  2.79517092e+02 -1.75704738e+01
  1.33835495e+03  5.93239842e+02  3.44786855e+02 -8.77281378e+01
  1.22058939e+03  5.51843627e+02  4.08396926e+02 -1.50472310e+02
  1.09694831e+03  4.84599628e+02  4.70041106e+02 -2.02460332e+02
  9.68026872e+02  3.95119304e+02  5.29422661e+02 -2.40917933e+02
  8.34445669e+02  2.88188125e+02  5.86255747e+02 -2.63785748e+02
  6.96847715e+02  1.69512823e+02  6.40266789e+02 -2.69828088e+02
  5.55895363e+02  4.54199891e+01  6.91195793e+02 -2.58698196e+02
  4.12267111e+02 -7.74780645e+01  7.38797605e+02 -2.30956568e+02
  2.66654339e+02 -1.92632533e+02  7.82843085e+02 -1.88041347e+02
  1.19757980e+02 -2.93903991e+02  8.23120213e+02 -1.32192374e+02
 -2.77148549e+01 -3.75886647e+02  8.59435107e+02 -6.63328936e+01
 -1.75054279e+02 -4.34193844e+02  8.91612959e+02  6.08483309e+00
 -3.21551049e+02 -4.65689743e+02  9.19498875e+02  8.12618517e+01
 -4.66499976e+02 -4.68654941e+02  9.42958623e+02  1.55253151e+02
 -6.09203323e+02 -4.42877282e+02  9.61879273e+02  2.24176009e+02
 -7.48974163e+02 -3.89663065e+02  9.76169749e+02  2.84415056e+02
 -8.85139684e+02 -3.11768055e+02  9.85761260e+02  3.32813207e+02
 -1.01704443e+03 -2.13251948e+02  9.90607636e+02  3.66838400e+02
 -1.14405345e+03 -9.92639595e+01  9.90685549e+02  3.84717316e+02
 -1.26555537e+03  2.42291144e+01  9.85994623e+02  3.85529034e+02
 -1.38096532e+03  1.50758026e+02  9.76557439e+02  3.69253661e+02
 -1.48972775e+03  2.73692736e+02  9.62419424e+02  3.36773382e+02
 -1.59131912e+03  3.86592562e+02  9.43648634e+02  2.89825860e+02
 -1.68525038e+03  4.83546336e+02  9.20335427e+02  2.30912461e+02
 -1.77106940e+03  5.59484580e+02  8.92592023e+02  1.63166146e+02
 -1.84836307e+03  6.10447244e+02  8.60551970e+02  9.01859987e+01
 -1.91675932e+03  6.33792840e+02  8.24369500e+02  1.58471455e+01
