               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
  1.56000000e+00 -3.43024259e+02  1.18655064e+02  8.84823341e+02  2.19449800e+02  2.19449800e+02  2.19449800e+02
  1.57000000e+00 -3.40778364e+02  1.23258054e+02  8.73241511e+02  2.29709649e+02  2.29709649e+02  2.29709649e+02
  1.58000000e+00 -3.38430468e+02  1.27808704e+02  8.61617630e+02  2.39849006e+02  2.39849006e+02  2.39849006e+02
  1.59000000e+00 -3.35981803e+02  1.32304684e+02  8.49952257e+02  2.49862500e+02  2.49862500e+02  2.49862500e+02
  1.60000000e+00 -3.33433655e+02  1.36743689e+02  8.38245953e+02  2.59744828e+02  2.59744828e+02  2.59744828e+02
  1.61000000e+00 -3.30787361e+02  1.41123448e+02  8.26499283e+02  2.69490756e+02  2.69490756e+02  2.69490756e+02
  1.62000000e+00 -3.28044312e+02  1.45441720e+02  8.14712812e+02  2.79095123e+02  2.79095123e+02  2.79095123e+02
  1.63000000e+00 -3.25205948e+02  1.49696296e+02  8.02887108e+02  2.88552842e+02  2.88552842e+02  2.88552842e+02
  1.64000000e+00 -3.22273761e+02  1.53885001e+02  7.91022740e+02  2.97858906e+02  2.97858906e+02  2.97858906e+02
  1.65000000e+00 -3.19249292e+02  1.58005696e+02  7.79120279e+02  3.07008385e+02  3.07008385e+02  3.07008385e+02
  1.66000000e+00 -3.16134131e+02  1.62056277e+02  7.67180300e+02  3.15996435e+02  3.15996435e+02  3.15996435e+02
  1.67000000e+00 -3.12929917e+02  1.66034677e+02  7.55203376e+02  3.24818297e+02  3.24818297e+02  3.24818297e+02
  1.68000000e+00 -3.09638335e+02  1.69938868e+02  7.43190084e+02  3.33469299e+02  3.33469299e+02  3.33469299e+02
  1.69000000e+00 -3.06261116e+02  1.73766862e+02  7.31141004e+02  3.41944861e+02  3.41944861e+02  3.41944861e+02
  1.70000000e+00 -3.02800037e+02  1.77516710e+02  7.19056715e+02  3.50240495e+02  3.50240495e+02  3.50240495e+02
  1.71000000e+00 -2.99256920e+02  1.81186504e+02  7.06937799e+02  3.58351808e+02  3.58351808e+02  3.58351808e+02
  1.72000000e+00 -2.95633630e+02  1.84774380e+02  6.94784840e+02  3.66274508e+02  3.66274508e+02  3.66274508e+02
  1.73000000e+00 -2.91932073e+02  1.88278517e+02  6.82598423e+02  3.74004399e+02  3.74004399e+02  3.74004399e+02
  1.74000000e+00 -2.88154198e+02  1.91697139e+02  6.70379134e+02  3.81537390e+02  3.81537390e+02  3.81537390e+02
  1.75000000e+00 -2.84301995e+02  1.95028513e+02  6.58127563e+02  3.88869493e+02  3.88869493e+02  3.88869493e+02
  1.76000000e+00 -2.80377491e+02  1.98270955e+02  6.45844300e+02  3.95996827e+02  3.95996827e+02  3.95996827e+02
  1.77000000e+00 -2.76382753e+02  2.01422826e+02  6.33529935e+02  4.02915619e+02  4.02915619e+02  4.02915619e+02
  1.78000000e+00 -2.72319886e+02  2.04482538e+02  6.21185062e+02  4.09622209e+02  4.09622209e+02  4.09622209e+02
  1.79000000e+00 -2.68191028e+02  2.07448548e+02  6.08810275e+02  4.16113046e+02  4.16113046e+02  4.16113046e+02
  1.80000000e+00 -2.63998356e+02  2.10319365e+02  5.96406170e+02  4.22384697e+02  4.22384697e+02  4.22384697e+02
  1.81000000e+00 -2.59744076e+02  2.13093549e+02  5.83973345e+02  4.28433843e+02  4.28433843e+02  4.28433843e+02
  1.82000000e+00 -2.55430431e+02  2.15769709e+02  5.71512398e+02  4.34257283e+02  4.34257283e+02  4.34257283e+02
  1.83000000e+00 -2.51059693e+02  2.18346508e+02  5.59023929e+02  4.39851937e+02  4.39851937e+02  4.39851937e+02
  1.84000000e+00 -2.46634165e+02  2.20822662e+02  5.46508540e+02  4.45214845e+02  4.45214845e+02  4.45214845e+02
  1.85000000e+00 -2.42156178e+02  2.23196937e+02  5.33966834e+02  4.50343171e+02  4.50343171e+02  4.50343171e+02
  1.86000000e+00 -2.37628093e+02  2.25468158e+02  5.21399414e+02  4.55234204e+02  4.55234204e+02  4.55234204e+02
  1.87000000e+00 -2.33052294e+02  2.27635201e+02  5.08806885e+02  4.59885357e+02  4.59885357e+02  4.59885357e+02
  1.88000000e+00 -2.28431193e+02  2.29696997e+02  4.96189854e+02  4.64294171e+02  4.64294171e+02  4.64294171e+02
  1.89000000e+00 -2.23767226e+02  2.31652537e+02  4.83548929e+02  4.68458317e+02  4.68458317e+02  4.68458317e+02
  1.90000000e+00 -2.19062850e+02  2.33500863e+02  4.70884718e+02  4.72375593e+02  4.72375593e+02  4.72375593e+02
  1.91000000e+00 -2.14320544e+02  2.35241077e+02  4.58197831e+02  4.76043931e+02  4.76043931e+02  4.76043931e+02
  1.92000000e+00 -2.09542808e+02  2.36872338e+02  4.45488880e+02  4.79461392e+02  4.79461392e+02  4.79461392e+02
  1.93000000e+00 -2.04732158e+02  2.38393863e+02  4.32758475e+02  4.82626173e+02  4.82626173e+02  4.82626173e+02
  1.94000000e+00 -1.99891132e+02  2.39804925e+02  4.20007231e+02  4.85536603e+02  4.85536603e+02  4.85536603e+02
  1.95000000e+00 -1.95022279e+02  2.41104859e+02  4.07235760e+02  4.88191147e+02  4.88191147e+02  4.88191147e+02
  1.96000000e+00 -1.90128167e+02  2.42293056e+02  3.94444679e+02  4.90588406e+02  4.90588406e+02  4.90588406e+02
  1.97000000e+00 -1.85211373e+02  2.43368968e+02  3.81634603e+02  4.92727115e+02  4.92727115e+02  4.92727115e+02
  1.98000000e+00 -1.80274490e+02  2.44332105e+02  3.68806149e+02  4.94606149e+02  4.94606149e+02  4.94606149e+02
  1.99000000e+00 -1.75320119e+02  2.45182039e+02  3.55959935e+02  4.96224520e+02  4.96224520e+02  4.96224520e+02
  2.00000000e+00 -1.70350871e+02  2.45918401e+02  3.43096579e+02  4.97581378e+02  4.97581378e+02  4.97581378e+02
  2.01000000e+00 -1.65369366e+02  2.46540881e+02  3.30216702e+02  4.98676011e+02  4.98676011e+02  4.98676011e+02
  2.02000000e+00 -1.60378227e+02  2.47049231e+02  3.17320922e+02  4.99507848e+02  4.99507848e+02  4.99507848e+02
  2.03000000e+00 -1.55380086e+02  2.47443262e+02  3.04409861e+02  5.00076456e+02  5.00076456e+02  5.00076456e+02
  2.04000000e+00 -1.50377576e+02  2.47722848e+02  2.91484141e+02  5.00381541e+02  5.00381541e+02  5.00381541e+02
