               t             z_1            v_z1
  4.31000000e+01  1.20517444e+02  4.58009381e+02
  4.32000000e+01  2.50755731e+02  4.11052910e+02
  4.33000000e+01  3.79786962e+02  3.41572215e+02
  4.34000000e+01  5.06990022e+02  2.53235231e+02
  4.35000000e+01  6.31752595e+02  1.50705843e+02
  4.36000000e+01  7.53474117e+02  3.93975706e+01
  4.37000000e+01  8.71568658e+02 -7.48123408e+01
  4.38000000e+01  9.85467751e+02 -1.85893323e+02
  4.39000000e+01  1.09462312e+03 -2.87979980e+02
  4.40000000e+01  1.19850933e+03 -3.75681864e+02
  4.41000000e+01  1.29662631e+03 -4.44368159e+02
  4.42000000e+01  1.38850174e+03 -4.90412255e+02
  4.43000000e+01  1.47369338e+03 -5.11383279e+02
  4.44000000e+01  1.55179114e+03 -5.06174474e+02
  4.45000000e+01  1.62241908e+03 -4.75061652e+02
  4.46000000e+01  1.68523722e+03 -4.19688620e+02
  4.47000000e+01  1.73994317e+03 -3.42980367e+02
  4.48000000e+01  1.78627360e+03 -2.48988574e+02
  4.49000000e+01  1.82400549e+03 -1.42677636e+02
  4.50000000e+01  1.85295721e+03 -2.96624652e+01
  4.51000000e+01  1.87298940e+03  8.40880532e+01
  4.52000000e+01  1.88400562e+03  1.92566300e+02
  4.53000000e+01  1.88595285e+03  2.90043207e+02
  4.54000000e+01  1.87882171e+03  3.71370832e+02
  4.55000000e+01  1.86264654e+03  4.32254238e+02
  4.56000000e+01  1.83750519e+03  4.69478323e+02
  4.57000000e+01  1.80351869e+03  4.81077620e+02
  4.58000000e+01  1.76085063e+03  4.66440100e+02
  4.59000000e+01  1.70970641e+03  4.26339488e+02
  4.60000000e+01  1.65033222e+03  3.62894402e+02
  4.61000000e+01  1.58301387e+03  2.79456454e+02
  4.62000000e+01  1.50807540e+03  1.80433237e+02
  4.63000000e+01  1.42587754e+03  7.10555446e+01
  4.64000000e+01  1.33681597e+03 -4.28988944e+01
  4.65000000e+01  1.24131941e+03 -1.55410556e+02
  4.66000000e+01  1.13984753e+03 -2.60536039e+02
  4.67000000e+01  1.03288880e+03 -3.52721953e+02
  4.68000000e+01  9.20958082e+02 -4.27098221e+02
  4.69000000e+01  8.04594167e+02 -4.79735277e+02
  4.70000000e+01  6.84357197e+02 -5.07851606e+02
  4.71000000e+01  5.60825954e+02 -5.09960640e+02
  4.72000000e+01  4.34595077e+02 -4.85949268e+02
  4.73000000e+01  3.06272200e+02 -4.37083807e+02
  4.74000000e+01  1.76475029e+02 -3.65943122e+02
  4.75000000e+01  4.58283644e+01 -2.76282421e+02
  4.76000000e+01 -8.50389030e+01 -1.72834929e+02
  4.77000000e+01 -2.15496820e+02 -6.10619045e+01
  4.78000000e+01 -3.44917406e+02  5.31357897e+01
  4.79000000e+01 -4.72677671e+02  1.63729334e+02
  4.80000000e+01 -5.98162618e+02  2.64880359e+02
