             x_1            v_x1             x_2            v_x2
 -3.10035691e+02  3.25945506e+02 -3.50620503e+02 -3.21539186e+02
 -3.06815216e+02  3.18110699e+02 -3.53859238e+02 -3.26184381e+02
 -3.03674274e+02  3.10039729e+02 -3.57143689e+02 -3.30681823e+02
 -3.00615194e+02  3.01738748e+02 -3.60472374e+02 -3.35030945e+02
 -2.97640251e+02  2.93213274e+02 -3.63843805e+02 -3.39230502e+02
 -2.94751663e+02  2.84468539e+02 -3.67256478e+02 -3.43278924e+02
 -2.91951596e+02  2.75509661e+02 -3.70708872e+02 -3.47174490e+02
 -2.89242168e+02  2.66341729e+02 -3.74199450e+02 -3.50915417e+02
 -2.86625443e+02  2.56969851e+02 -3.77726657e+02 -3.54499914e+02
 -2.84103435e+02  2.47399188e+02 -3.81288920e+02 -3.57926214e+02
 -2.81678105e+02  2.37634961e+02 -3.84884648e+02 -3.61192593e+02
 -2.79351364e+02  2.27682470e+02 -3.88512233e+02 -3.64297383e+02
 -2.77125066e+02  2.17547091e+02 -3.92170051e+02 -3.67238983e+02
 -2.75001014e+02  2.07234283e+02 -3.95856463e+02 -3.70015861e+02
 -2.72980954e+02  1.96749590e+02 -3.99569814e+02 -3.72626563e+02
 -2.71066577e+02  1.86098636e+02 -4.03308435e+02 -3.75069713e+02
 -2.69259517e+02  1.75287127e+02 -4.07070645e+02 -3.77344020e+02
 -2.67561350e+02  1.64320852e+02 -4.10854748e+02 -3.79448275e+02
 -2.65973596e+02  1.53205674e+02 -4.14659040e+02 -3.81381356e+02
 -2.64497714e+02  1.41947535e+02 -4.18481801e+02 -3.83142227e+02
 -2.63135102e+02  1.30552450e+02 -4.22321307e+02 -3.84729945e+02
 -2.61887101e+02  1.19026503e+02 -4.26175820e+02 -3.86143651e+02
 -2.60754988e+02  1.07375846e+02 -4.30043597e+02 -3.87382582e+02
 -2.59739979e+02  9.56066974e+01 -4.33922887e+02 -3.88446062e+02
 -2.58843228e+02  8.37253361e+01 -4.37811931e+02 -3.89333509e+02
 -2.58065826e+02  7.17380998e+01 -4.41708968e+02 -3.90044432e+02
 -2.57408798e+02  5.96513817e+01 -4.45612230e+02 -3.90578436e+02
 -2.56873108e+02  4.74716271e+01 -4.49519946e+02 -3.90935215e+02
 -2.56459654e+02  3.52053300e+01 -4.53430343e+02 -3.91114558e+02
 -2.56169268e+02  2.28590301e+01 -4.57341645e+02 -3.91116349e+02
 -2.56002718e+02  1.04393089e+01 -4.61252078e+02 -3.90940564e+02
 -2.55960705e+02 -2.04721331e+00 -4.65159865e+02 -3.90587272e+02
 -2.56043863e+02 -1.45938811e+01 -4.69063232e+02 -3.90056639e+02
 -2.56252761e+02 -2.71940075e+01 -4.72960407e+02 -3.89348921e+02
 -2.56587899e+02 -3.98408770e+01 -4.76849621e+02 -3.88464471e+02
 -2.57049712e+02 -5.25277500e+01 -4.80729109e+02 -3.87403732e+02
