             x_1             y_1             x_2             y_2
 -5.18476353e+02 -1.28226969e+03 -4.09998553e+02 -4.78022415e+02
 -5.22395844e+02 -1.27719362e+03 -4.07531421e+02 -4.76671246e+02
 -5.26204936e+02 -1.27205525e+03 -4.05042422e+02 -4.75391224e+02
 -5.29902252e+02 -1.26685714e+03 -4.02533218e+02 -4.74182826e+02
 -5.33486472e+02 -1.26160187e+03 -4.00005476e+02 -4.73046488e+02
 -5.36956339e+02 -1.25629205e+03 -3.97460876e+02 -4.71982610e+02
 -5.40310655e+02 -1.25093031e+03 -3.94901107e+02 -4.70991552e+02
 -5.43548281e+02 -1.24551934e+03 -3.92327863e+02 -4.70073634e+02
 -5.46668143e+02 -1.24006181e+03 -3.89742847e+02 -4.69229138e+02
 -5.49669228e+02 -1.23456045e+03 -3.87147768e+02 -4.68458308e+02
 -5.52550585e+02 -1.22901800e+03 -3.84544339e+02 -4.67761346e+02
 -5.55311328e+02 -1.22343721e+03 -3.81934280e+02 -4.67138415e+02
 -5.57950633e+02 -1.21782086e+03 -3.79319310e+02 -4.66589640e+02
 -5.60467742e+02 -1.21217176e+03 -3.76701153e+02 -4.66115105e+02
 -5.62861960e+02 -1.20649271e+03 -3.74081535e+02 -4.65714854e+02
 -5.65132658e+02 -1.20078656e+03 -3.71462181e+02 -4.65388893e+02
 -5.67279272e+02 -1.19505613e+03 -3.68844817e+02 -4.65137186e+02
 -5.69301304e+02 -1.18930430e+03 -3.66231167e+02 -4.64959658e+02
 -5.71198321e+02 -1.18353391e+03 -3.63622952e+02 -4.64856196e+02
 -5.72969957e+02 -1.17774786e+03 -3.61021892e+02 -4.64826644e+02
 -5.74615912e+02 -1.17194901e+03 -3.58429701e+02 -4.64870810e+02
 -5.76135953e+02 -1.16614028e+03 -3.55848088e+02 -4.64988460e+02
 -5.77529913e+02 -1.16032453e+03 -3.53278759e+02 -4.65179322e+02
 -5.78797691e+02 -1.15450468e+03 -3.50723409e+02 -4.65443085e+02
 -5.79939254e+02 -1.14868363e+03 -3.48183730e+02 -4.65779397e+02
 -5.80954636e+02 -1.14286426e+03 -3.45661401e+02 -4.66187869e+02
 -5.81843936e+02 -1.13704948e+03 -3.43158095e+02 -4.66668073e+02
 -5.82607321e+02 -1.13124218e+03 -3.40675473e+02 -4.67219543e+02
 -5.83245025e+02 -1.12544525e+03 -3.38215185e+02 -4.67841774e+02
 -5.83757347e+02 -1.11966158e+03 -3.35778870e+02 -4.68534223e+02
 -5.84144653e+02 -1.11389404e+03 -3.33368151e+02 -4.69296311e+02
 -5.84407376e+02 -1.10814549e+03 -3.30984642e+02 -4.70127420e+02
 -5.84546013e+02 -1.10241880e+03 -3.28629937e+02 -4.71026895e+02
 -5.84561129e+02 -1.09671679e+03 -3.26305620e+02 -4.71994046e+02
 -5.84453353e+02 -1.09104232e+03 -3.24013254e+02 -4.73028145e+02
 -5.84223378e+02 -1.08539817e+03 -3.21754387e+02 -4.74128429e+02
 -5.83871963e+02 -1.07978717e+03 -3.19530548e+02 -4.75294100e+02
 -5.83399931e+02 -1.07421208e+03 -3.17343250e+02 -4.76524324e+02
 -5.82808169e+02 -1.06867566e+03 -3.15193982e+02 -4.77818233e+02
 -5.82097626e+02 -1.06318066e+03 -3.13084216e+02 -4.79174924e+02
 -5.81269316e+02 -1.05772978e+03 -3.11015402e+02 -4.80593462e+02
 -5.80324313e+02 -1.05232572e+03 -3.08988967e+02 -4.82072878e+02
 -5.79263755e+02 -1.04697115e+03 -3.07006316e+02 -4.83612169e+02
 -5.78088838e+02 -1.04166870e+03 -3.05068831e+02 -4.85210303e+02
 -5.76800822e+02 -1.03642099e+03 -3.03177870e+02 -4.86866213e+02
 -5.75401023e+02 -1.03123059e+03 -3.01334764e+02 -4.88578802e+02
 -5.73890820e+02 -1.02610007e+03 -2.99540820e+02 -4.90346946e+02
 -5.72271648e+02 -1.02103192e+03 -2.97797320e+02 -4.92169485e+02
 -5.70545000e+02 -1.01602864e+03 -2.96105517e+02 -4.94045236e+02
 -5.68712426e+02 -1.01109268e+03 -2.94466636e+02 -4.95972983e+02
 -5.66775531e+02 -1.00622645e+03 -2.92881875e+02 -4.97951484e+02
 -5.64735977e+02 -1.00143233e+03 -2.91352403e+02 -4.99979469e+02
 -5.62595479e+02 -9.96712639e+02 -2.89879359e+02 -5.02055643e+02
 -5.60355805e+02 -9.92069687e+02 -2.88463852e+02 -5.04178683e+02
 -5.58018776e+02 -9.87505726e+02 -2.87106960e+02 -5.06347241e+02
 -5.55586266e+02 -9.83022967e+02 -2.85809731e+02 -5.08559947e+02
 -5.53060196e+02 -9.78623577e+02 -2.84573178e+02 -5.10815404e+02
 -5.50442538e+02 -9.74309680e+02 -2.83398285e+02 -5.13112194e+02
 -5.47735314e+02 -9.70083354e+02 -2.82286001e+02 -5.15448876e+02
 -5.44940591e+02 -9.65946627e+02 -2.81237242e+02 -5.17823988e+02
 -5.42060484e+02 -9.61901483e+02 -2.80252891e+02 -5.20236047e+02
 -5.39097150e+02 -9.57949853e+02 -2.79333796e+02 -5.22683549e+02
 -5.36052795e+02 -9.54093620e+02 -2.78480769e+02 -5.25164973e+02
 -5.32929662e+02 -9.50334615e+02 -2.77694588e+02 -5.27678777e+02
 -5.29730040e+02 -9.46674617e+02 -2.76975996e+02 -5.30223405e+02
 -5.26456257e+02 -9.43115352e+02 -2.76325697e+02 -5.32797281e+02
 -5.23110679e+02 -9.39658490e+02 -2.75744362e+02 -5.35398814e+02
 -5.19695711e+02 -9.36305649e+02 -2.75232624e+02 -5.38026400e+02
 -5.16213794e+02 -9.33058390e+02 -2.74791077e+02 -5.40678419e+02
 -5.12667405e+02 -9.29918215e+02 -2.74420280e+02 -5.43353236e+02
 -5.09059055e+02 -9.26886573e+02 -2.74120753e+02 -5.46049208e+02
