             x_1             y_1             z_1             x_2             y_2             z_2
 -3.71188043e+02 -1.38998080e+03  7.68066275e+02 -4.63966343e+02 -5.41671630e+02  6.12861542e+02
 -3.77427305e+02 -1.38751966e+03  7.54290588e+02 -4.62715986e+02 -5.38665923e+02  6.18253135e+02
 -3.83614993e+02 -1.38494232e+03  7.40478577e+02 -4.61404922e+02 -5.35704025e+02  6.23614956e+02
 -3.89748474e+02 -1.38224998e+03  7.26630909e+02 -4.60034193e+02 -5.32787314e+02  6.28946746e+02
 -3.95825141e+02 -1.37944392e+03  7.12748248e+02 -4.58604869e+02 -5.29917143e+02  6.34248248e+02
 -4.01842418e+02 -1.37652547e+03  6.98831265e+02 -4.57118054e+02 -5.27094842e+02  6.39519207e+02
 -4.07797761e+02 -1.37349602e+03  6.84880628e+02 -4.55574878e+02 -5.24321713e+02  6.44759370e+02
 -4.13688658e+02 -1.37035702e+03  6.70897011e+02 -4.53976505e+02 -5.21599032e+02  6.49968484e+02
 -4.19512631e+02 -1.36710998e+03  6.56881086e+02 -4.52324126e+02 -5.18928048e+02  6.55146298e+02
 -4.25267237e+02 -1.36375645e+03  6.42833528e+02 -4.50618960e+02 -5.16309983e+02  6.60292563e+02
 -4.30950070e+02 -1.36029806e+03  6.28755014e+02 -4.48862255e+02 -5.13746031e+02  6.65407031e+02
 -4.36558763e+02 -1.35673647e+03  6.14646222e+02 -4.47055287e+02 -5.11237354e+02  6.70489456e+02
 -4.42090985e+02 -1.35307343e+03  6.00507831e+02 -4.45199355e+02 -5.08785087e+02  6.75539592e+02
 -4.47544450e+02 -1.34931070e+03  5.86340522e+02 -4.43295787e+02 -5.06390334e+02  6.80557198e+02
 -4.52916910e+02 -1.34545012e+03  5.72144977e+02 -4.41345935e+02 -5.04054169e+02  6.85542030e+02
 -4.58206160e+02 -1.34149358e+03  5.57921880e+02 -4.39351175e+02 -5.01777632e+02  6.90493850e+02
 -4.63410041e+02 -1.33744301e+03  5.43671915e+02 -4.37312907e+02 -4.99561734e+02  6.95412418e+02
 -4.68526438e+02 -1.33330039e+03  5.29395770e+02 -4.35232554e+02 -4.97407451e+02  7.00297498e+02
 -4.73553282e+02 -1.32906775e+03  5.15094131e+02 -4.33111561e+02 -4.95315728e+02  7.05148855e+02
 -4.78488552e+02 -1.32474718e+03  5.00767688e+02 -4.30951394e+02 -4.93287476e+02  7.09966255e+02
 -4.83330274e+02 -1.32034079e+03  4.86417129e+02 -4.28753540e+02 -4.91323570e+02  7.14749465e+02
 -4.88076525e+02 -1.31585076e+03  4.72043147e+02 -4.26519506e+02 -4.89424853e+02  7.19498256e+02
 -4.92725431e+02 -1.31127930e+03  4.57646433e+02 -4.24250817e+02 -4.87592132e+02  7.24212399e+02
 -4.97275172e+02 -1.30662867e+03  4.43227680e+02 -4.21949017e+02 -4.85826179e+02  7.28891667e+02
 -5.01723978e+02 -1.30190116e+03  4.28787584e+02 -4.19615667e+02 -4.84127730e+02  7.33535835e+02
 -5.06070133e+02 -1.29709912e+03  4.14326839e+02 -4.17252345e+02 -4.82497484e+02  7.38144678e+02
 -5.10311975e+02 -1.29222491e+03  3.99846142e+02 -4.14860644e+02 -4.80936105e+02  7.42717975e+02
 -5.14447899e+02 -1.28728095e+03  3.85346189e+02 -4.12442173e+02 -4.79444219e+02  7.47255507e+02
 -5.18476353e+02 -1.28226969e+03  3.70827680e+02 -4.09998553e+02 -4.78022415e+02  7.51757053e+02
 -5.22395844e+02 -1.27719362e+03  3.56291314e+02 -4.07531421e+02 -4.76671246e+02  7.56222398e+02
 -5.26204936e+02 -1.27205525e+03  3.41737789e+02 -4.05042422e+02 -4.75391224e+02  7.60651326e+02
 -5.29902252e+02 -1.26685714e+03  3.27167809e+02 -4.02533218e+02 -4.74182826e+02  7.65043624e+02
 -5.33486472e+02 -1.26160187e+03  3.12582073e+02 -4.00005476e+02 -4.73046488e+02  7.69399081e+02
 -5.36956339e+02 -1.25629205e+03  2.97981284e+02 -3.97460876e+02 -4.71982610e+02  7.73717487e+02
 -5.40310655e+02 -1.25093031e+03  2.83366146e+02 -3.94901107e+02 -4.70991552e+02  7.77998634e+02
 -5.43548281e+02 -1.24551934e+03  2.68737362e+02 -3.92327863e+02 -4.70073634e+02  7.82242316e+02
 -5.46668143e+02 -1.24006181e+03  2.54095637e+02 -3.89742847e+02 -4.69229138e+02  7.86448328e+02
 -5.49669228e+02 -1.23456045e+03  2.39441676e+02 -3.87147768e+02 -4.68458308e+02  7.90616468e+02
 -5.52550585e+02 -1.22901800e+03  2.24776184e+02 -3.84544339e+02 -4.67761346e+02  7.94746535e+02
 -5.55311328e+02 -1.22343721e+03  2.10099868e+02 -3.81934280e+02 -4.67138415e+02  7.98838330e+02
 -5.57950633e+02 -1.21782086e+03  1.95413434e+02 -3.79319310e+02 -4.66589640e+02  8.02891657e+02
 -5.60467742e+02 -1.21217176e+03  1.80717590e+02 -3.76701153e+02 -4.66115105e+02  8.06906319e+02
 -5.62861960e+02 -1.20649271e+03  1.66013044e+02 -3.74081535e+02 -4.65714854e+02  8.10882125e+02
 -5.65132658e+02 -1.20078656e+03  1.51300502e+02 -3.71462181e+02 -4.65388893e+02  8.14818881e+02
 -5.67279272e+02 -1.19505613e+03  1.36580675e+02 -3.68844817e+02 -4.65137186e+02  8.18716399e+02
 -5.69301304e+02 -1.18930430e+03  1.21854271e+02 -3.66231167e+02 -4.64959658e+02  8.22574491e+02
 -5.71198321e+02 -1.18353391e+03  1.07121999e+02 -3.63622952e+02 -4.64856196e+02  8.26392972e+02
 -5.72969957e+02 -1.17774786e+03  9.23845678e+01 -3.61021892e+02 -4.64826644e+02  8.30171656e+02
 -5.74615912e+02 -1.17194901e+03  7.76426880e+01 -3.58429701e+02 -4.64870810e+02  8.33910363e+02
 -5.76135953e+02 -1.16614028e+03  6.28970693e+01 -3.55848088e+02 -4.64988460e+02  8.37608913e+02
 -5.77529913e+02 -1.16032453e+03  4.81484217e+01 -3.53278759e+02 -4.65179322e+02  8.41267126e+02
 -5.78797691e+02 -1.15450468e+03  3.33974556e+01 -3.50723409e+02 -4.65443085e+02  8.44884827e+02
 -5.79939254e+02 -1.14868363e+03  1.86448811e+01 -3.48183730e+02 -4.65779397e+02  8.48461843e+02
 -5.80954636e+02 -1.14286426e+03  3.89140874e+00 -3.45661401e+02 -4.66187869e+02  8.51998000e+02
 -5.81843936e+02 -1.13704948e+03 -1.08622510e+01 -3.43158095e+02 -4.66668073e+02  8.55493128e+02
 -5.82607321e+02 -1.13124218e+03 -2.56153876e+01 -3.40675473e+02 -4.67219543e+02  8.58947059e+02
 -5.83245025e+02 -1.12544525e+03 -4.03672908e+01 -3.38215185e+02 -4.67841774e+02  8.62359626e+02
 -5.83757347e+02 -1.11966158e+03 -5.51172500e+01 -3.35778870e+02 -4.68534223e+02  8.65730666e+02
 -5.84144653e+02 -1.11389404e+03 -6.98645549e+01 -3.33368151e+02 -4.69296311e+02  8.69060016e+02
 -5.84407376e+02 -1.10814549e+03 -8.46084955e+01 -3.30984642e+02 -4.70127420e+02  8.72347516e+02
 -5.84546013e+02 -1.10241880e+03 -9.93483617e+01 -3.28629937e+02 -4.71026895e+02  8.75593007e+02
 -5.84561129e+02 -1.09671679e+03 -1.14083444e+02 -3.26305620e+02 -4.71994046e+02  8.78796333e+02
 -5.84453353e+02 -1.09104232e+03 -1.28813032e+02 -3.24013254e+02 -4.73028145e+02  8.81957339e+02
 -5.84223378e+02 -1.08539817e+03 -1.43536417e+02 -3.21754387e+02 -4.74128429e+02  8.85075875e+02
 -5.83871963e+02 -1.07978717e+03 -1.58252890e+02 -3.19530548e+02 -4.75294100e+02  8.88151788e+02
 -5.83399931e+02 -1.07421208e+03 -1.72961742e+02 -3.17343250e+02 -4.76524324e+02  8.91184932e+02
 -5.82808169e+02 -1.06867566e+03 -1.87662265e+02 -3.15193982e+02 -4.77818233e+02  8.94175160e+02
 -5.82097626e+02 -1.06318066e+03 -2.02353751e+02 -3.13084216e+02 -4.79174924e+02  8.97122328e+02
 -5.81269316e+02 -1.05772978e+03 -2.17035492e+02 -3.11015402e+02 -4.80593462e+02  9.00026295e+02
 -5.80324313e+02 -1.05232572e+03 -2.31706782e+02 -3.08988967e+02 -4.82072878e+02  9.02886920e+02
 -5.79263755e+02 -1.04697115e+03 -2.46366914e+02 -3.07006316e+02 -4.83612169e+02  9.05704065e+02
 -5.78088838e+02 -1.04166870e+03 -2.61015182e+02 -3.05068831e+02 -4.85210303e+02  9.08477596e+02
 -5.76800822e+02 -1.03642099e+03 -2.75650880e+02 -3.03177870e+02 -4.86866213e+02  9.11207378e+02
 -5.75401023e+02 -1.03123059e+03 -2.90273305e+02 -3.01334764e+02 -4.88578802e+02  9.13893280e+02
 -5.73890820e+02 -1.02610007e+03 -3.04881750e+02 -2.99540820e+02 -4.90346946e+02  9.16535173e+02
 -5.72271648e+02 -1.02103192e+03 -3.19475514e+02 -2.97797320e+02 -4.92169485e+02  9.19132929e+02
 -5.70545000e+02 -1.01602864e+03 -3.34053894e+02 -2.96105517e+02 -4.94045236e+02  9.21686423e+02
 -5.68712426e+02 -1.01109268e+03 -3.48616186e+02 -2.94466636e+02 -4.95972983e+02  9.24195533e+02
 -5.66775531e+02 -1.00622645e+03 -3.63161691e+02 -2.92881875e+02 -4.97951484e+02  9.26660137e+02
 -5.64735977e+02 -1.00143233e+03 -3.77689707e+02 -2.91352403e+02 -4.99979469e+02  9.29080117e+02
 -5.62595479e+02 -9.96712639e+02 -3.92199536e+02 -2.89879359e+02 -5.02055643e+02  9.31455357e+02
 -5.60355805e+02 -9.92069687e+02 -4.06690477e+02 -2.88463852e+02 -5.04178683e+02  9.33785741e+02
 -5.58018776e+02 -9.87505726e+02 -4.21161835e+02 -2.87106960e+02 -5.06347241e+02  9.36071158e+02
 -5.55586266e+02 -9.83022967e+02 -4.35612910e+02 -2.85809731e+02 -5.08559947e+02  9.38311498e+02
 -5.53060196e+02 -9.78623577e+02 -4.50043009e+02 -2.84573178e+02 -5.10815404e+02  9.40506652e+02
 -5.50442538e+02 -9.74309680e+02 -4.64451435e+02 -2.83398285e+02 -5.13112194e+02  9.42656516e+02
 -5.47735314e+02 -9.70083354e+02 -4.78837495e+02 -2.82286001e+02 -5.15448876e+02  9.44760985e+02
 -5.44940591e+02 -9.65946627e+02 -4.93200496e+02 -2.81237242e+02 -5.17823988e+02  9.46819958e+02
 -5.42060484e+02 -9.61901483e+02 -5.07539747e+02 -2.80252891e+02 -5.20236047e+02  9.48833337e+02
 -5.39097150e+02 -9.57949853e+02 -5.21854556e+02 -2.79333796e+02 -5.22683549e+02  9.50801023e+02
 -5.36052795e+02 -9.54093620e+02 -5.36144235e+02 -2.78480769e+02 -5.25164973e+02  9.52722923e+02
 -5.32929662e+02 -9.50334615e+02 -5.50408096e+02 -2.77694588e+02 -5.27678777e+02  9.54598943e+02
 -5.29730040e+02 -9.46674617e+02 -5.64645452e+02 -2.76975996e+02 -5.30223405e+02  9.56428994e+02
 -5.26456257e+02 -9.43115352e+02 -5.78855616e+02 -2.76325697e+02 -5.32797281e+02  9.58212987e+02
 -5.23110679e+02 -9.39658490e+02 -5.93037905e+02 -2.75744362e+02 -5.35398814e+02  9.59950837e+02
 -5.19695711e+02 -9.36305649e+02 -6.07191636e+02 -2.75232624e+02 -5.38026400e+02  9.61642459e+02
 -5.16213794e+02 -9.33058390e+02 -6.21316127e+02 -2.74791077e+02 -5.40678419e+02  9.63287772e+02
 -5.12667405e+02 -9.29918215e+02 -6.35410697e+02 -2.74420280e+02 -5.43353236e+02  9.64886698e+02
 -5.09059055e+02 -9.26886573e+02 -6.49474669e+02 -2.74120753e+02 -5.46049208e+02  9.66439158e+02
 -5.05391286e+02 -9.23964851e+02 -6.63507365e+02 -2.73892978e+02 -5.48764677e+02  9.67945079e+02
 -5.01666673e+02 -9.21154379e+02 -6.77508110e+02 -2.73737399e+02 -5.51497975e+02  9.69404388e+02
 -4.97887821e+02 -9.18456426e+02 -6.91476228e+02 -2.73654422e+02 -5.54247424e+02  9.70817014e+02
 -4.94057362e+02 -9.15872202e+02 -7.05411048e+02 -2.73644413e+02 -5.57011340e+02  9.72182889e+02
 -4.90177956e+02 -9.13402856e+02 -7.19311897e+02 -2.73707700e+02 -5.59788026e+02  9.73501948e+02
 -4.86252290e+02 -9.11049473e+02 -7.33178108e+02 -2.73844571e+02 -5.62575781e+02  9.74774127e+02
 -4.82283074e+02 -9.08813079e+02 -7.47009012e+02 -2.74055276e+02 -5.65372899e+02  9.75999365e+02
 -4.78273040e+02 -9.06694636e+02 -7.60803943e+02 -2.74340024e+02 -5.68177665e+02  9.77177603e+02
 -4.74224943e+02 -9.04695042e+02 -7.74562237e+02 -2.74698986e+02 -5.70988362e+02  9.78308784e+02
 -4.70141557e+02 -9.02815132e+02 -7.88283231e+02 -2.75132293e+02 -5.73803270e+02  9.79392854e+02
 -4.66025675e+02 -9.01055677e+02 -8.01966264e+02 -2.75640035e+02 -5.76620664e+02  9.80429760e+02
 -4.61880108e+02 -8.99417384e+02 -8.15610679e+02 -2.76222265e+02 -5.79438820e+02  9.81419453e+02
 -4.57707680e+02 -8.97900893e+02 -8.29215816e+02 -2.76878993e+02 -5.82256013e+02  9.82361884e+02
 -4.53511230e+02 -8.96506781e+02 -8.42781022e+02 -2.77610191e+02 -5.85070515e+02  9.83257009e+02
 -4.49293611e+02 -8.95235558e+02 -8.56305643e+02 -2.78415792e+02 -5.87880603e+02  9.84104785e+02
 -4.45057686e+02 -8.94087670e+02 -8.69789028e+02 -2.79295688e+02 -5.90684554e+02  9.84905170e+02
 -4.40806326e+02 -8.93063493e+02 -8.83230528e+02 -2.80249732e+02 -5.93480648e+02  9.85658126e+02
 -4.36542413e+02 -8.92163342e+02 -8.96629495e+02 -2.81277736e+02 -5.96267170e+02  9.86363616e+02
 -4.32268832e+02 -8.91387461e+02 -9.09985283e+02 -2.82379474e+02 -5.99042409e+02  9.87021608e+02
 -4.27988476e+02 -8.90736031e+02 -9.23297251e+02 -2.83554681e+02 -6.01804658e+02  9.87632068e+02
 -4.23704240e+02 -8.90209162e+02 -9.36564756e+02 -2.84803052e+02 -6.04552219e+02  9.88194969e+02
 -4.19419019e+02 -8.89806903e+02 -9.49787161e+02 -2.86124243e+02 -6.07283401e+02  9.88710281e+02
 -4.15135712e+02 -8.89529231e+02 -9.62963827e+02 -2.87517870e+02 -6.09996521e+02  9.89177982e+02
 -4.10857214e+02 -8.89376059e+02 -9.76094121e+02 -2.88983513e+02 -6.12689904e+02  9.89598048e+02
 -4.06586417e+02 -8.89347232e+02 -9.89177410e+02 -2.90520712e+02 -6.15361888e+02  9.89970459e+02
 -4.02326211e+02 -8.89442530e+02 -1.00221306e+03 -2.92128967e+02 -6.18010819e+02  9.90295197e+02
 -3.98079479e+02 -8.89661666e+02 -1.01520046e+03 -2.93807744e+02 -6.20635056e+02  9.90572246e+02
 -3.93849095e+02 -8.90004285e+02 -1.02813896e+03 -2.95556468e+02 -6.23232973e+02  9.90801593e+02
 -3.89637927e+02 -8.90469968e+02 -1.04102795e+03 -2.97374528e+02 -6.25802953e+02  9.90983228e+02
 -3.85448830e+02 -8.91058228e+02 -1.05386682e+03 -2.99261277e+02 -6.28343398e+02  9.91117141e+02
 -3.81284648e+02 -8.91768515e+02 -1.06665493e+03 -3.01216028e+02 -6.30852723e+02  9.91203325e+02
